fileID	Analysis round	Database	Kr2 confidence	Senterica reads in library	S.ent reads correctly IDed	S.ent reads assigned higher	Unclassified	S.ent reads incorrectly assigned	Tot reads IDed as Salm	False positives	Hits to SSRs	S.ent hits to SSRs	SSRs False Pos	Recall_Kr2	Recall_SSRs	Precision Kr2	Precision SSRs
salm10rep18_kr2bac_c0.25	Round3	kr2bac	c0.25	10	9	1	0	0	9	0	1	1	0	0.9	0.1	1.0	1.0
salm50rep20_kr2bac_c0.25	Round3	kr2bac	c0.25	50	48	2	0	0	48	0	4	4	0	0.96	0.08	1.0	1.0
salm50rep3_kr2bac_c0.25	Round3	kr2bac	c0.25	50	47	3	0	0	47	0	5	5	0	0.94	0.1	1.0	1.0
salm10rep7_kr2bac_c0.25	Round3	kr2bac	c0.25	10	9	1	0	0	9	0	1	1	0	0.9	0.1	1.0	1.0
salm10rep15_kr2bac_c0.25	Round3	kr2bac	c0.25	10	10	0	0	0	10	0	0	0	0	1.0	0.0	1.0	0.0
salm50rep12_kr2bac_c0.25	Round3	kr2bac	c0.25	50	47	3	0	0	47	0	9	9	0	0.94	0.18	1.0	1.0
salm10rep8_kr2bac_c0.25	Round3	kr2bac	c0.25	10	10	0	0	0	10	0	2	2	0	1.0	0.2	1.0	1.0
salm5rep14_kr2bac_c0.25	Round3	kr2bac	c0.25	5	5	0	0	0	5	0	0	0	0	1.0	0.0	1.0	0.0
salm5rep2_kr2bac_c0.25	Round3	kr2bac	c0.25	5	5	0	0	0	5	0	1	1	0	1.0	0.2	1.0	1.0
salm10rep19_kr2bac_c0.25	Round3	kr2bac	c0.25	10	9	1	0	0	9	0	1	1	0	0.9	0.1	1.0	1.0
salm10rep4_kr2bac_c0.25	Round3	kr2bac	c0.25	10	9	1	0	0	9	0	2	2	0	0.9	0.2	1.0	1.0
salm10rep16_kr2bac_c0.25	Round3	kr2bac	c0.25	10	10	0	0	0	10	0	0	0	0	1.0	0.0	1.0	0.0
salm50rep11_kr2bac_c0.25	Round3	kr2bac	c0.25	50	45	5	0	0	45	0	4	4	0	0.9	0.08	1.0	1.0
salm5rep1_kr2bac_c0.25	Round3	kr2bac	c0.25	5	5	0	0	0	5	0	0	0	0	1.0	0.0	1.0	0.0
salm5rep18_kr2bac_c0.25	Round3	kr2bac	c0.25	5	5	0	0	0	5	0	1	1	0	1.0	0.2	1.0	1.0
salm5rep17_kr2bac_c0.25	Round3	kr2bac	c0.25	5	5	0	0	0	5	0	0	0	0	1.0	0.0	1.0	0.0
salm5rep3_kr2bac_c0.25	Round3	kr2bac	c0.25	5	4	1	0	0	4	0	0	0	0	0.8	0.0	1.0	0.0
salm5rep15_kr2bac_c0.25	Round3	kr2bac	c0.25	5	5	0	0	0	5	0	0	0	0	1.0	0.0	1.0	0.0
salm10rep9_kr2bac_c0.25	Round3	kr2bac	c0.25	10	9	1	0	0	9	0	1	1	0	0.9	0.1	1.0	1.0
salm10rep14_kr2bac_c0.25	Round3	kr2bac	c0.25	10	9	1	0	0	9	0	3	3	0	0.9	0.3	1.0	1.0
salm50rep13_kr2bac_c0.25	Round3	kr2bac	c0.25	50	46	4	0	0	46	0	3	3	0	0.92	0.06	1.0	1.0
salm10rep6_kr2bac_c0.25	Round3	kr2bac	c0.25	10	8	2	0	0	8	0	2	2	0	0.8	0.2	1.0	1.0
salm50rep2_kr2bac_c0.25	Round3	kr2bac	c0.25	50	44	6	0	0	44	0	0	0	0	0.88	0.0	1.0	0.0
salm10rep12_kr2bac_c0.25	Round3	kr2bac	c0.25	10	7	3	0	0	7	0	1	1	0	0.7	0.1	1.0	1.0
salm50rep15_kr2bac_c0.25	Round3	kr2bac	c0.25	50	48	2	0	0	48	0	6	6	0	0.96	0.12	1.0	1.0
salm50rep4_kr2bac_c0.25	Round3	kr2bac	c0.25	50	49	1	0	0	49	0	3	3	0	0.98	0.06	1.0	1.0
salm5rep5_kr2bac_c0.25	Round3	kr2bac	c0.25	5	5	0	0	0	5	0	1	1	0	1.0	0.2	1.0	1.0
salm5rep13_kr2bac_c0.25	Round3	kr2bac	c0.25	5	5	0	0	0	5	0	0	0	0	1.0	0.0	1.0	0.0
salm5rep8_kr2bac_c0.25	Round3	kr2bac	c0.25	5	4	1	0	0	4	0	1	1	0	0.8	0.2	1.0	1.0
salm5rep7_kr2bac_c0.25	Round3	kr2bac	c0.25	5	5	0	0	0	5	0	0	0	0	1.0	0.0	1.0	0.0
salm5rep11_kr2bac_c0.25	Round3	kr2bac	c0.25	5	5	0	0	0	5	0	1	1	0	1.0	0.2	1.0	1.0
salm10rep2_kr2bac_c0.25	Round3	kr2bac	c0.25	10	9	1	0	0	9	0	1	1	0	0.9	0.1	1.0	1.0
salm50rep18_kr2bac_c0.25	Round3	kr2bac	c0.25	50	47	3	0	0	47	0	3	3	0	0.94	0.06	1.0	1.0
salm10rep10_kr2bac_c0.25	Round3	kr2bac	c0.25	10	9	1	0	0	9	0	0	0	0	0.9	0.0	1.0	0.0
salm50rep17_kr2bac_c0.25	Round3	kr2bac	c0.25	50	47	3	0	0	47	0	4	4	0	0.94	0.08	1.0	1.0
salm50rep9_kr2bac_c0.25	Round3	kr2bac	c0.25	50	46	4	0	0	46	0	0	0	0	0.92	0.0	1.0	0.0
salm50rep6_kr2bac_c0.25	Round3	kr2bac	c0.25	50	47	3	0	0	47	0	3	3	0	0.94	0.06	1.0	1.0
salm10rep20_kr2bac_c0.25	Round3	kr2bac	c0.25	10	10	0	0	0	10	0	2	2	0	1.0	0.2	1.0	1.0
